army_leadership_1;Army Leadership 1;Fortifications de campagne;Feldbefestigungen;;;;;;;;;;;x
investment_9_desc; ;;;;;;;;;;;;;x
investment_10;Investment 10 ;;;;;;;;;;;;;x
investment_10_desc; ;;;;;;;;;;;;;x
investment_11;Investment 11 ;;;;;;;;;;;;;x
investment_11_desc; ;;;;;;;;;;;;;x
investment_12;Investment 12 ;;;;;;;;;;;;;x
investment_12_desc; ;;;;;;;;;;;;;x
investment_13;Investment 13 ;;;;;;;;;;;;;x
investment_13_desc; ;;;;;;;;;;;;;x
investment_14;Investment 14 ;;;;;;;;;;;;;x
investment_14_desc; ;;;;;;;;;;;;;x
investment_15;Investment 15 ;;;;;;;;;;;;;x
investment_15_desc; ;;;;;;;;;;;;;x
investment_16;Investment 16 ;;;;;;;;;;;;;x
investment_16_desc; ;;;;;;;;;;;;;x
investment_17;Investment 17 ;;;;;;;;;;;;;x
investment_17_desc; ;;;;;;;;;;;;;x
investment_18;Investment 18 ;;;;;;;;;;;;;x
investment_18_desc; ;;;;;;;;;;;;;x
investment_19;Investment 19 ;;;;;;;;;;;;;x
investment_19_desc; ;;;;;;;;;;;;;x
investment_20;Investment 20 ;;;;;;;;;;;;;x
investment_20_desc; ;;;;;;;;;;;;;x
investment_21;Investment 21 ;;;;;;;;;;;;;x
investment_21_desc; ;;;;;;;;;;;;;x
investment_22;Investment 22 ;;;;;;;;;;;;;x
investment_22_desc; ;;;;;;;;;;;;;x
investment_23;Investment 23 ;;;;;;;;;;;;;x
investment_23_desc; ;;;;;;;;;;;;;x
investment_24;Investment 24 ;;;;;;;;;;;;;x
investment_24_desc; ;;;;;;;;;;;;;x
investment_25;Investment 25 ;;;;;;;;;;;;;x
investment_25_desc; ;;;;;;;;;;;;;x
investment_26;Investment 26 ;;;;;;;;;;;;;x
investment_26_desc; ;;;;;;;;;;;;;x
investment_27;Investment 27 ;;;;;;;;;;;;;x
investment_27_desc; ;;;;;;;;;;;;;x
investment_28;Investment 28 ;;;;;;;;;;;;;x
investment_28_desc; ;;;;;;;;;;;;;x
investment_29;Investment 29 ;;;;;;;;;;;;;x
investment_29_desc; ;;;;;;;;;;;;;x
investment_30;Investment 30 ;;;;;;;;;;;;;x
investment_30_desc; ;;;;;;;;;;;;;x
investment_31;Investment 31 ;;;;;;;;;;;;;x
investment_31_desc; ;;;;;;;;;;;;;x
investment_32;Investment 32 ;;;;;;;;;;;;;x
investment_32_desc; ;;;;;;;;;;;;;x
investment_33;Investment 33 ;;;;;;;;;;;;;x
investment_33_desc; ;;;;;;;;;;;;;x
investment_34;Investment 34 ;;;;;;;;;;;;;x
investment_34_desc; ;;;;;;;;;;;;;x
investment_35;Investment 35 ;;;;;;;;;;;;;x
investment_35_desc; ;;;;;;;;;;;;;x
investment_36;Investment 36 ;;;;;;;;;;;;;x
investment_36_desc; ;;;;;;;;;;;;;x
investment_37;Investment 37 ;;;;;;;;;;;;;x
investment_37_desc; ;;;;;;;;;;;;;x
investment_38;Investment 38 ;;;;;;;;;;;;;x
investment_38_desc; ;;;;;;;;;;;;;x
investment_39;Investment 39 ;;;;;;;;;;;;;x
investment_39_desc; ;;;;;;;;;;;;;x
investment_40;Investment 40 ;;;;;;;;;;;;;x
investment_40_desc; ;;;;;;;;;;;;;x
investment_41;Investment 41 ;;;;;;;;;;;;;x
investment_41_desc; ;;;;;;;;;;;;;x
investment_42;Investment 42 ;;;;;;;;;;;;;x
investment_42_desc; ;;;;;;;;;;;;;x
investment_43;Investment 43 ;;;;;;;;;;;;;x
investment_43_desc; ;;;;;;;;;;;;;x
investment_44;Investment 44 ;;;;;;;;;;;;;x
investment_44_desc; ;;;;;;;;;;;;;x
investment_45;Investment 45 ;;;;;;;;;;;;;x
investment_45_desc; ;;;;;;;;;;;;;x
investment_46;Investment 46 ;;;;;;;;;;;;;x
investment_46_desc; ;;;;;;;;;;;;;x
investment_47;Investment 47 ;;;;;;;;;;;;;x
investment_47_desc; ;;;;;;;;;;;;;x
investment_48;Investment 48 ;;;;;;;;;;;;;x
investment_48_desc; ;;;;;;;;;;;;;x
investment_49;Investment 49 ;;;;;;;;;;;;;x
investment_49_desc; ;;;;;;;;;;;;;x
investment_50;Investment 50 ;;;;;;;;;;;;;x
investment_50_desc; ;;;;;;;;;;;;;x
investment_51;Investment 51 ;;;;;;;;;;;;;x
investment_51_desc; ;;;;;;;;;;;;;x
investment_52;Investment 52 ;;;;;;;;;;;;;x
investment_52_desc; ;;;;;;;;;;;;;x
investment_53;Investment 53 ;;;;;;;;;;;;;x
investment_53_desc; ;;;;;;;;;;;;;x
investment_54;Investment 54 ;;;;;;;;;;;;;x
investment_54_desc; ;;;;;;;;;;;;;x
capital_1;Capital 1;;;;;;;;;;;;;x
capital_1_desc; ;;;;;;;;;;;;;x
capital_2;Capital 2 ;;;;;;;;;;;;;x
capital_2_desc; ;;;;;;;;;;;;;x
capital_3;Capital 3 ;;;;;;;;;;;;;x
capital_3_desc; ;;;;;;;;;;;;;x
capital_4;Capital 4  ;;;;;;;;;;;;;x
capital_4_desc; ;;;;;;;;;;;;;x
capital_5;Capital 5 ;;;;;;;;;;;;;x
capital_5_desc; ;;;;;;;;;;;;;x
capital_6;Capital 6 ;;;;;;;;;;;;;x
capital_6_desc; ;;;;;;;;;;;;;x
capital_7;Capital 7 ;;;;;;;;;;;;;x
capital_7_desc; ;;;;;;;;;;;;;x
capital_8;Capital 8 ;;;;;;;;;;;;;x
capital_8_desc; ;;;;;;;;;;;;;x
capital_9;Capital 9; ;;;;;;;;;;;;;x
capital_9_desc; ;;;;;;;;;;;;;x
capital_10;Capital 10 ;;;;;;;;;;;;;x
capital_10_desc; ;;;;;;;;;;;;;x
capital_11;Capital 11 ;;;;;;;;;;;;;x
capital_11_desc; ;;;;;;;;;;;;;x
capital_12;Capital 12 ;;;;;;;;;;;;;x
capital_12_desc; ;;;;;;;;;;;;;x
capital_13;Capital 13 ;;;;;;;;;;;;;x
capital_13_desc; ;;;;;;;;;;;;;x
capital_14;Capital 14 ;;;;;;;;;;;;;x
capital_14_desc; ;;;;;;;;;;;;;x
capital_15;Capital 15 ;;;;;;;;;;;;;x
capital_15_desc; ;;;;;;;;;;;;;x
capital_16;Capital 16 ;;;;;;;;;;;;;x
capital_16_desc; ;;;;;;;;;;;;;x
capital_17;Capital 17 ;;;;;;;;;;;;;x
capital_17_desc; ;;;;;;;;;;;;;x
capital_18;Capital 18 ;;;;;;;;;;;;;x
capital_18_desc; ;;;;;;;;;;;;;x
capital_19;Capital 19 ;;;;;;;;;;;;;x
capital_19_desc; ;;;;;;;;;;;;;x
capital_20;Capital 20 ;;;;;;;;;;;;;x
capital_20_desc; ;;;;;;;;;;;;;x
capital_21;Capital 21 ;;;;;;;;;;;;;x
capital_21_desc; ;;;;;;;;;;;;;x
capital_22;Capital 22 ;;;;;;;;;;;;;x
capital_22_desc; ;;;;;;;;;;;;;x
capital_23;Capital 23 ;;;;;;;;;;;;;x
capital_23_desc; ;;;;;;;;;;;;;x
capital_24;Capital 24 ;;;;;;;;;;;;;x
capital_24_desc; ;;;;;;;;;;;;;x
capital_25;Capital 25 ;;;;;;;;;;;;;x
capital_25_desc; ;;;;;;;;;;;;;x
capital_26;Capital 26 ;;;;;;;;;;;;;x
capital_26_desc; ;;;;;;;;;;;;;x
capital_27;Capital 27 ;;;;;;;;;;;;;x
capital_27_desc; ;;;;;;;;;;;;;x
capital_28;Capital 28 ;;;;;;;;;;;;;x
capital_28_desc; ;;;;;;;;;;;;;x
capital_29;Capital 29 ;;;;;;;;;;;;;x
capital_29_desc; ;;;;;;;;;;;;;x
capital_30;Capital 30 ;;;;;;;;;;;;;x
capital_30_desc; ;;;;;;;;;;;;;x
capital_31;Capital 31 ;;;;;;;;;;;;;x
capital_31_desc; ;;;;;;;;;;;;;x
capital_32;Capital 32 ;;;;;;;;;;;;;x
capital_32_desc; ;;;;;;;;;;;;;x
capital_33;Capital 33 ;;;;;;;;;;;;;x
capital_33_desc; ;;;;;;;;;;;;;x
capital_34;Capital 34 ;;;;;;;;;;;;;x
capital_34_desc; ;;;;;;;;;;;;;x
capital_35;Capital 35 ;;;;;;;;;;;;;x
capital_35_desc; ;;;;;;;;;;;;;x
capital_36;Capital 36 ;;;;;;;;;;;;;x
capital_36_desc; ;;;;;;;;;;;;;x
capital_37;Capital 37 ;;;;;;;;;;;;;x
capital_37_desc; ;;;;;;;;;;;;;x
capital_38;Capital 38 ;;;;;;;;;;;;;x
capital_38_desc; ;;;;;;;;;;;;;x
capital_39;Capital 39 ;;;;;;;;;;;;;x
capital_39_desc; ;;;;;;;;;;;;;x
capital_40;Capital 40 ;;;;;;;;;;;;;x
capital_40_desc; ;;;;;;;;;;;;;x
capital_41;Capital 41 ;;;;;;;;;;;;;x
capital_41_desc; ;;;;;;;;;;;;;x
capital_42;Capital 42 ;;;;;;;;;;;;;x
capital_42_desc; ;;;;;;;;;;;;;x
capital_43;Capital 43 ;;;;;;;;;;;;;x
capital_43_desc; ;;;;;;;;;;;;;x
capital_44;Capital 44 ;;;;;;;;;;;;;x
capital_44_desc; ;;;;;;;;;;;;;x
capital_45;Capital 45 ;;;;;;;;;;;;;x
capital_45_desc; ;;;;;;;;;;;;;x
capital_46;Capital 46 ;;;;;;;;;;;;;x
capital_46_desc; ;;;;;;;;;;;;;x
capital_47;Capital 47 ;;;;;;;;;;;;;x
capital_47_desc; ;;;;;;;;;;;;;x
capital_48;Capital 48 ;;;;;;;;;;;;;x
capital_48_desc; ;;;;;;;;;;;;;x
capital_49;Capital 49 ;;;;;;;;;;;;;x
capital_49_desc; ;;;;;;;;;;;;;x
capital_50;Capital 50 ;;;;;;;;;;;;;x
capital_50_desc; ;;;;;;;;;;;;;x
capital_51;Capital 51 ;;;;;;;;;;;;;x
capital_51_desc; ;;;;;;;;;;;;;x
capital_52;Capital 52 ;;;;;;;;;;;;;x
capital_52_desc; ;;;;;;;;;;;;;x
capital_53;Capital 53 ;;;;;;;;;;;;;x
capital_53_desc; ;;;;;;;;;;;;;x
capital_54;Capital 54 ;;;;;;;;;;;;;x
capital_54_desc; ;;;;;;;;;;;;;x
management_1;Management 1;;;;;;;;;;;;;x
management_1_desc; ;;;;;;;;;;;;;x
management_2;Management 2 ;;;;;;;;;;;;;x
management_2_desc; ;;;;;;;;;;;;;x
management_3;Management 3 ;;;;;;;;;;;;;x
management_3_desc; ;;;;;;;;;;;;;x
management_4;Management 4  ;;;;;;;;;;;;;x
management_4_desc; ;;;;;;;;;;;;;x
management_5;Management 5 ;;;;;;;;;;;;;x
management_5_desc; ;;;;;;;;;;;;;x
management_6;Management 6 ;;;;;;;;;;;;;x
management_6_desc; ;;;;;;;;;;;;;x
management_7;Management 7 ;;;;;;;;;;;;;x
management_7_desc; ;;;;;;;;;;;;;x
management_8;Management 8 ;;;;;;;;;;;;;x
management_8_desc; ;;;;;;;;;;;;;x
management_9;Management 9; ;;;;;;;;;;;;;x
management_9_desc; ;;;;;;;;;;;;;x
management_10;Management 10 ;;;;;;;;;;;;;x
management_10_desc; ;;;;;;;;;;;;;x
management_11;Management 11 ;;;;;;;;;;;;;x
management_11_desc; ;;;;;;;;;;;;;x
management_12;Management 12 ;;;;;;;;;;;;;x
management_12_desc; ;;;;;;;;;;;;;x
management_13;Management 13 ;;;;;;;;;;;;;x
management_13_desc; ;;;;;;;;;;;;;x
management_14;Management 14 ;;;;;;;;;;;;;x
management_14_desc; ;;;;;;;;;;;;;x
management_15;Management 15 ;;;;;;;;;;;;;x
management_15_desc; ;;;;;;;;;;;;;x
management_16;Management 16 ;;;;;;;;;;;;;x
management_16_desc; ;;;;;;;;;;;;;x
management_17;Management 17 ;;;;;;;;;;;;;x
management_17_desc; ;;;;;;;;;;;;;x
management_18;Management 18 ;;;;;;;;;;;;;x
management_18_desc; ;;;;;;;;;;;;;x
management_19;Management 19 ;;;;;;;;;;;;;x
management_19_desc; ;;;;;;;;;;;;;x
management_20;Management 20 ;;;;;;;;;;;;;x
management_20_desc; ;;;;;;;;;;;;;x
management_21;Management 21 ;;;;;;;;;;;;;x
management_21_desc; ;;;;;;;;;;;;;x
management_22;Management 22 ;;;;;;;;;;;;;x
management_22_desc; ;;;;;;;;;;;;;x
management_23;Management 23 ;;;;;;;;;;;;;x
management_23_desc; ;;;;;;;;;;;;;x
management_24;Management 24 ;;;;;;;;;;;;;x
management_24_desc; ;;;;;;;;;;;;;x
management_25;Management 25 ;;;;;;;;;;;;;x
management_25_desc; ;;;;;;;;;;;;;x
management_26;Management 26 ;;;;;;;;;;;;;x
management_26_desc; ;;;;;;;;;;;;;x
management_27;Management 27 ;;;;;;;;;;;;;x
management_27_desc; ;;;;;;;;;;;;;x
management_28;Management 28 ;;;;;;;;;;;;;x
management_28_desc; ;;;;;;;;;;;;;x
management_29;Management 29 ;;;;;;;;;;;;;x
management_29_desc; ;;;;;;;;;;;;;x
management_30;Management 30 ;;;;;;;;;;;;;x
management_30_desc; ;;;;;;;;;;;;;x
management_31;Management 31 ;;;;;;;;;;;;;x
management_31_desc; ;;;;;;;;;;;;;x
management_32;Management 32 ;;;;;;;;;;;;;x
management_32_desc; ;;;;;;;;;;;;;x
management_33;Management 33 ;;;;;;;;;;;;;x
management_33_desc; ;;;;;;;;;;;;;x
management_34;Management 34 ;;;;;;;;;;;;;x
management_34_desc; ;;;;;;;;;;;;;x
management_35;Management 35 ;;;;;;;;;;;;;x
management_35_desc; ;;;;;;;;;;;;;x
management_36;Management 36 ;;;;;;;;;;;;;x
management_36_desc; ;;;;;;;;;;;;;x
management_37;Management 37 ;;;;;;;;;;;;;x
management_37_desc; ;;;;;;;;;;;;;x
management_38;Management 38 ;;;;;;;;;;;;;x
management_38_desc; ;;;;;;;;;;;;;x
management_39;Management 39 ;;;;;;;;;;;;;x
management_39_desc; ;;;;;;;;;;;;;x
management_40;Management 40 ;;;;;;;;;;;;;x
management_40_desc; ;;;;;;;;;;;;;x
management_41;Management 41 ;;;;;;;;;;;;;x
management_41_desc; ;;;;;;;;;;;;;x
management_42;Management 42 ;;;;;;;;;;;;;x
management_42_desc; ;;;;;;;;;;;;;x
management_43;Management 43 ;;;;;;;;;;;;;x
management_43_desc; ;;;;;;;;;;;;;x
management_44;Management 44 ;;;;;;;;;;;;;x
management_44_desc; ;;;;;;;;;;;;;x
management_45;Management 45 ;;;;;;;;;;;;;x
management_45_desc; ;;;;;;;;;;;;;x
management_46;Management 46 ;;;;;;;;;;;;;x
management_46_desc; ;;;;;;;;;;;;;x
management_47;Management 47 ;;;;;;;;;;;;;x
management_47_desc; ;;;;;;;;;;;;;x
management_48;Management 48 ;;;;;;;;;;;;;x
management_48_desc; ;;;;;;;;;;;;;x
management_49;Management 49 ;;;;;;;;;;;;;x
management_49_desc; ;;;;;;;;;;;;;x
management_50;Management 50 ;;;;;;;;;;;;;x
management_50_desc; ;;;;;;;;;;;;;x
management_51;Management 51 ;;;;;;;;;;;;;x
management_51_desc; ;;;;;;;;;;;;;x
management_52;Management 52 ;;;;;;;;;;;;;x
management_52_desc; ;;;;;;;;;;;;;x
management_53;Management 53 ;;;;;;;;;;;;;x
management_53_desc; ;;;;;;;;;;;;;x
management_54;Management 54 ;;;;;;;;;;;;;x
management_54_desc; ;;;;;;;;;;;;;x
aesthetics_1;Aesthetics 1;;;;;;;;;;;;;x
aesthetics_1_desc;Wile philopshy and the sciences were developing in new directions, one aspect of intellectual life remained fairly constant. This was classicism, the harking back for literary and artistic models, to the classics of ancient Rome and Greece.;;;;;;;;;;;;;x
aesthetics_2;Aesthetics 2 ;;;;;;;;;;;;;x
aesthetics_2_desc;Almost every enlightened person of the 18th century entertained an admiration for classical antiquity and like humanism of the renaissance could see no good in the culture of the middle ages.;;;;;;;;;;;;;x
aesthetics_3;Aesthetics 3 ;;;;;;;;;;;;;x
aesthetics_3_desc;The humanist movement during the renaissance of 300 years ago provided the right cultural background for the development of classicism in the 18th century.;;;;;;;;;;;;;x
aesthetics_4;Aesthetics 4  ;;;;;;;;;;;;;x
aesthetics_4_desc;Anyone who aspired to be enlightened did so through a rational understanding of classical literature. All the universities of Europe taught Latin and Greek and this had a great impact on mid-century writers.;;;;;;;;;;;;;x
aesthetics_5;Aesthetics 5 ;;;;;;;;;;;;;x
aesthetics_5_desc;The most estimable politicans and monarchs were those well versed in the classics and who understood the discourses of Demosthenes or Cicero.;;;;;;;;;;;;;x
aesthetics_6;Aesthetics 6 ;;;;;;;;;;;;;x
aesthetics_6_desc;The influence of classicism upon art and literature was profound and abiding. Indeed, the dominant aesthetic style of the 17th century continued relatively unchanged into the 18th century.;;;;;;;;;;;;;x
aesthetics_7;Aesthetics 7 ;;;;;;;;;;;;;x
aesthetics_7_desc;Baroque architecture was grandiose and inspired by the classical columns and arches of greece and rome.;;;;;;;;;;;;;x
aesthetics_8;Aesthetics 8 ;;;;;;;;;;;;;x
aesthetics_8_desc;The development of rococo architecture and aesthetic style first arrived in France but quickly spread to other parts of Europe. ;;;;;;;;;;;;;x
aesthetics_9;Aesthetics 9; ;;;;;;;;;;;;;x
aesthetics_9_desc;In Europe several architects about the middle of the 18th century began to react against rococo developments of baroque art and to turn from grandiose models of antiquity to simpler classical models.;;;;;;;;;;;;;x
aesthetics_10;Aesthetics 10 ;;;;;;;;;;;;;x
aesthetics_10_desc;During the arcitectural revolution and changes made to grandiose design the basic underlying philopshy remained classical but was less ornamental.;;;;;;;;;;;;;x
aesthetics_11;Aesthetics 11 ;;;;;;;;;;;;;x
aesthetics_11_desc;As classicism dominated architecture, so a classically inspired elegance characterized the house furnishings and the personal adornments of polite society.;;;;;;;;;;;;;x
aesthetics_12;Aesthetics 12 ;;;;;;;;;;;;;x
aesthetics_12_desc;Every gentleman and lady aspired to be a patron of the arts and to surround themselves in elegance.;;;;;;;;;;;;;x
aesthetics_13;Aesthetics 13 ;;;;;;;;;;;;;x
aesthetics_13_desc;Conventional elegance led to crystal chandeliers and flashing mirrors of graceful mahogany furniture as well as delicatly chinaware from the manufacturies at Sevres, Dresden and Wedgewood.;;;;;;;;;;;;;x
aesthetics_14;Aesthetics 14 ;;;;;;;;;;;;;x
aesthetics_14_desc; ;;;;;;;;;;;;;x
aesthetics_15;Aesthetics 15 ;;;;;;;;;;;;;x
aesthetics_15_desc; ;;;;;;;;;;;;;x
aesthetics_16;Aesthetics 16 ;;;;;;;;;;;;;x
aesthetics_16_desc; ;;;;;;;;;;;;;x
aesthetics_17;Aesthetics 17 ;;;;;;;;;;;;;x
aesthetics_17_desc; ;;;;;;;;;;;;;x
aesthetics_18;Aesthetics 18 ;;;;;;;;;;;;;x
aesthetics_18_desc; ;;;;;;;;;;;;;x
aesthetics_19;Aesthetics 19 ;;;;;;;;;;;;;x
aesthetics_19_desc; ;;;;;;;;;;;;;x
aesthetics_20;Aesthetics 20 ;;;;;;;;;;;;;x
aesthetics_20_desc; ;;;;;;;;;;;;;x
aesthetics_21;Aesthetics 21 ;;;;;;;;;;;;;x
aesthetics_21_desc; ;;;;;;;;;;;;;x
aesthetics_22;Aesthetics 22 ;;;;;;;;;;;;;x
aesthetics_22_desc; ;;;;;;;;;;;;;x
aesthetics_23;Aesthetics 23 ;;;;;;;;;;;;;x
aesthetics_23_desc; ;;;;;;;;;;;;;x
aesthetics_24;Aesthetics 24 ;;;;;;;;;;;;;x
aesthetics_24_desc; ;;;;;;;;;;;;;x
aesthetics_25;Aesthetics 25 ;;;;;;;;;;;;;x
aesthetics_25_desc; ;;;;;;;;;;;;;x
aesthetics_26;Aesthetics 26 ;;;;;;;;;;;;;x
aesthetics_26_desc; ;;;;;;;;;;;;;x
aesthetics_27;Aesthetics 27 ;;;;;;;;;;;;;x
aesthetics_27_desc; ;;;;;;;;;;;;;x
aesthetics_28;Aesthetics 28 ;;;;;;;;;;;;;x
aesthetics_28_desc; ;;;;;;;;;;;;;x
aesthetics_29;Aesthetics 29 ;;;;;;;;;;;;;x
aesthetics_29_desc; ;;;;;;;;;;;;;x
aesthetics_30;Aesthetics 30 ;;;;;;;;;;;;;x
aesthetics_30_desc; ;;;;;;;;;;;;;x
aesthetics_31;Aesthetics 31 ;;;;;;;;;;;;;x
aesthetics_31_desc; ;;;;;;;;;;;;;x
aesthetics_32;Aesthetics 32 ;;;;;;;;;;;;;x
aesthetics_32_desc; ;;;;;;;;;;;;;x
aesthetics_33;Aesthetics 33 ;;;;;;;;;;;;;x
aesthetics_33_desc; ;;;;;;;;;;;;;x
aesthetics_34;Aesthetics 34 ;;;;;;;;;;;;;x
aesthetics_34_desc; ;;;;;;;;;;;;;x
aesthetics_35;Aesthetics 35 ;;;;;;;;;;;;;x
aesthetics_35_desc; ;;;;;;;;;;;;;x
aesthetics_36;Aesthetics 36 ;;;;;;;;;;;;;x
aesthetics_36_desc; ;;;;;;;;;;;;;x
aesthetics_37;Aesthetics 37 ;;;;;;;;;;;;;x
aesthetics_37_desc; ;;;;;;;;;;;;;x
aesthetics_38;Aesthetics 38 ;;;;;;;;;;;;;x
aesthetics_38_desc; ;;;;;;;;;;;;;x
aesthetics_39;Aesthetics 39 ;;;;;;;;;;;;;x
aesthetics_39_desc; ;;;;;;;;;;;;;x
aesthetics_40;Aesthetics 40 ;;;;;;;;;;;;;x
aesthetics_40_desc; ;;;;;;;;;;;;;x
aesthetics_41;Aesthetics 41 ;;;;;;;;;;;;;x
aesthetics_41_desc; ;;;;;;;;;;;;;x
aesthetics_42;Aesthetics 42 ;;;;;;;;;;;;;x
aesthetics_42_desc; ;;;;;;;;;;;;;x
aesthetics_43;Aesthetics 43 ;;;;;;;;;;;;;x
aesthetics_43_desc; ;;;;;;;;;;;;;x
aesthetics_44;Aesthetics 44 ;;;;;;;;;;;;;x
aesthetics_44_desc; ;;;;;;;;;;;;;x
aesthetics_45;Aesthetics 45 ;;;;;;;;;;;;;x
aesthetics_45_desc; ;;;;;;;;;;;;;x
aesthetics_46;Aesthetics 46 ;;;;;;;;;;;;;x
aesthetics_46_desc; ;;;;;;;;;;;;;x
aesthetics_47;Aesthetics 47 ;;;;;;;;;;;;;x
aesthetics_47_desc; ;;;;;;;;;;;;;x
aesthetics_48;Aesthetics 48 ;;;;;;;;;;;;;x
aesthetics_48_desc; ;;;;;;;;;;;;;x
aesthetics_49;Aesthetics 49 ;;;;;;;;;;;;;x
aesthetics_49_desc; ;;;;;;;;;;;;;x
aesthetics_50;Aesthetics 50 ;;;;;;;;;;;;;x
aesthetics_50_desc; ;;;;;;;;;;;;;x
aesthetics_51;Aesthetics 51 ;;;;;;;;;;;;;x
aesthetics_51_desc; ;;;;;;;;;;;;;x
aesthetics_52;Aesthetics 52 ;;;;;;;;;;;;;x
aesthetics_52_desc; ;;;;;;;;;;;;;x
aesthetics_53;Aesthetics 53 ;;;;;;;;;;;;;x
aesthetics_53_desc; ;;;;;;;;;;;;;x
aesthetics_54;Aesthetics 54 ;;;;;;;;;;;;;x
aesthetics_54_desc; ;;;;;;;;;;;;;x
philosophy_1;Philosophy 1;;;;;;;;;;;;;x
philosophy_1_desc;In 1690 appeared John Locke's Essay Concerning Human Understanding. In this new work, a profound psychological study, he reached the conclusiont that knowledge is the discernment of agreement and disagreement, either of our thoughts or between our thoughts.;;;;;;;;;;;;;x
philosophy_2;Philosophy 2 ;;;;;;;;;;;;;x
philosophy_2_desc;The philopsher David Hume, a scottish student of history and economics as well as of natural philosophy, maintained that thought is merely a practical instrument for convenient interpretation of our human experience, "it has no objective or metaphysical validity of any kind".;;;;;;;;;;;;;x
philosophy_3;Philosophy 3 ;;;;;;;;;;;;;x
philosophy_3_desc;The philopshies of David Hume ended in the realisation for european philopshers that it is impossible to establish the reasonableness of God or religion, and the proper sphere of human thought is merely human experience.;;;;;;;;;;;;;x
philosophy_4;Philosophy 4  ;;;;;;;;;;;;;x
philosophy_4_desc;Baruch Spinoza was of great influence to later 18th century philopshers struggling with Cartesian dualism. Spinoza did not follow Hobbes in reducing everything down into matter, instead advocating the idea that everything is both body and spirit.;;;;;;;;;;;;;x
philosophy_5;Philosophy 5 ;;;;;;;;;;;;;x
philosophy_5_desc;Substance and nature, nature and God are identical concepts. This was the essence of Spinoza's philosophy of pantheism, and to it was attached the corollary that free will is an illusion of consciousness.;;;;;;;;;;;;;x
philosophy_6;Philosophy 6 ;;;;;;;;;;;;;x
philosophy_6_desc;Naturalism substituted the supernatural with the natural law inherent to all things. Science and an advanced understanding of philophy replaced theology in learning institutions, colleges, academies and universities across 18th century europe.;;;;;;;;;;;;;x
philosophy_7;Philosophy 7 ;;;;;;;;;;;;;x
philosophy_7_desc;Humanitarianism led to the tender regard for all human life and the defence and preservation of the natural rights and blessings of all individuals.;;;;;;;;;;;;;x
philosophy_8;Philosophy 8 ;;;;;;;;;;;;;x
philosophy_8_desc;In the light of new developments in the field of metaphysics, a branch of 18th century philosphy, a good deal of criticism was indulged. The critique of knowledge allowed ideas to be tested through peer review which quickly caught on in other research fields such as the sciences. Belief or religious faith which had for 1000 provided answers to compelx problems was no longer enough. All theory had to be tested and either proven or refuted.;;;;;;;;;;;;;x
philosophy_9;Philosophy 9; ;;;;;;;;;;;;;x
philosophy_9_desc;Institutions and practices of the 'enlightened' were dissected by rational theorists. In the areas of religion, politics, society and law, traditional ways of doing things were put to the test, improved or abandoned entirely, at least in academic discussion since real political action would take place in future decades via revolution.;;;;;;;;;;;;;x
philosophy_10;Philosophy 10 ;;;;;;;;;;;;;x
philosophy_10_desc;The rational mind concept allowed greater thought on the purpose of philopshical study, was it to promote understanding of natural law, or was it to 'enlighten' subjects of the realm which for centuries had lived in ignorance and medieval superstition?;;;;;;;;;;;;;x
philosophy_11;Philosophy 11 ;;;;;;;;;;;;;x
philosophy_11_desc;There were advances made during the 18th century regarding the rediscovery of the classics. Educated men and also women of the middle and upper classes recieved a classical education so as to develop their rational and scientific minds. Innovation rather than narrow sighted views of the world prevailed.;;;;;;;;;;;;;x
philosophy_12;Philosophy 12 ;;;;;;;;;;;;;x
philosophy_12_desc;The critique of knowledge led to the advancement of the idea in a critcal spirit which allowed new ideas to flourish and be put to the test on the battlefield of ideas and rational philosophy.;;;;;;;;;;;;;x
philosophy_13;Philosophy 13 ;;;;;;;;;;;;;x
philosophy_13_desc;Last of the major philopsher of the englightenment was Immanuel Kant. Grandson of a scottish immigrant in Prussia he spent his entire life in Konigsburg and like all educated men of the 18th century was interested in natural science, physics, law and geography. In his extensive philosophical writings he grappled with the problem of how to base moral duty on natural science rather than on religion.;;;;;;;;;;;;;x
philosophy_14;Philosophy 14 ;;;;;;;;;;;;;x
philosophy_14_desc;The Kantian solution to the problem of rationalism vs religion was a new concept called idealism - the doctrine that while we cannot know that God exists, our moral sense requires us to recognize the transcendental existence of God and likewise the freedom of the will and the immortality of the soul.;;;;;;;;;;;;;x
philosophy_15;Philosophy 15 ;;;;;;;;;;;;;x
philosophy_15_desc;If the conception of natural science in Hume's mind meant truth without God, in Kant's mind it meant God without certain truth.;;;;;;;;;;;;;x
philosophy_16;Philosophy 16 ;;;;;;;;;;;;;x
philosophy_16_desc; ;;;;;;;;;;;;;x
philosophy_17;Philosophy 17 ;;;;;;;;;;;;;x
philosophy_17_desc; ;;;;;;;;;;;;;x
philosophy_18;Philosophy 18 ;;;;;;;;;;;;;x
philosophy_18_desc; ;;;;;;;;;;;;;x
philosophy_19;Philosophy 19 ;;;;;;;;;;;;;x
philosophy_19_desc; ;;;;;;;;;;;;;x
philosophy_20;Philosophy 20 ;;;;;;;;;;;;;x
philosophy_20_desc; ;;;;;;;;;;;;;x
philosophy_21;Philosophy 21 ;;;;;;;;;;;;;x
philosophy_21_desc; ;;;;;;;;;;;;;x
philosophy_22;Philosophy 22 ;;;;;;;;;;;;;x
philosophy_22_desc; ;;;;;;;;;;;;;x
