;;;;x
desc_ev_20000174;The first complete census of a region has been carried out in the island of Iceland. Due to its low population it was easier to carry out an experimental census like this. According to it, the population is around fifty thousand on the whole island.;x;;
ev_20000175;Man in the Iron Mask Dies;x;;
desc_ev_20000175;The strange person, who arrived to the Bastille with his face covered by a velvet cloth years ago has died in his prison cell today. His identity was not revealed after all. Some thinks that he was the legal heir of France, some think that he was a disgraced noble. Whoever he was remains a mystery for now.;x;;
ev_20000176;The Great Storm of 1703;x;;
desc_ev_20000176;A great storm has darkened the skies, leaving death, destruction and mayhem behind. The sea levels rose a bit and the rivers flooded. We are still unsure about the damage done, but many people died, that is for sure.;x;;
ev_20000178;Dublin Gazette Published;x;;
desc_ev_20000178;A Dublin Gazette was instituted by King James II. It was the official newspaper of Britain's government in Ireland. It mostly published notices of government business.;x;;
ev_20000179;Merchant's Property Confiscated;x;;
desc_ev_20000179;A prominent merchant's complete property has been confiscated by the local government of Osaka for conducting deals that are, according to the officials, unbecoming to the merchant class of Japan, turning him into a complete outcast of the country.;x;;
ev_20000180;Treaty of Union;x;;
desc_ev_20000180;With the beginning of a new century and the diplomatic tensions ending between the two countries under the English crown Scotland agreed to unite the two crowns into one, the crown of Great Britain. ;x;;
ev_20000181;Twinings Teahouse Opened;x;;
desc_ev_20000181;With the growing income of tea from India and China the first teahouse has been opened by Thomas Twinings, who is also a major tea importer, and is thought to be selling the best quality blends in England.;x;;
ev_20000182;Mount Fuji Erupts;x;;
desc_ev_20000182;The Mount Fuji, that was thought to be dormant until now have erupted once again, raining ash, dust and rocks onto the nearby lands, followed by the lava. We are still not completely sure about the casulties, but it must be thousands of lives, based on the damage done.;x;;
ev_20000183;St Paul's Cathedral Complete;x;;
desc_ev_20000183;A new Cathedral has been built in the location of the old one that was destroyed in the Great Fire. It was constructed in the style of the new English Baroque. Of course, being the largest cathedral in our kingdom, it immediatly became the seat of the Bishop of London and the mother church of the Diocese of London. It is a majestic, great sight, dominating the skyline of London.;x;;
ev_20000184;New Chamber Musician;x;;
desc_ev_20000184;Our royal court has needed a royal musician for a while now, but we found the perfect candidate. A composer who recently got popular, called Johann Sebastian Bach has been selected as royal musician for our court. He seems to excel in composing organ music.;x;;
ev_20000185;Porcelain Produced in Europe;x;;
desc_ev_20000185;Porcelain, a material that was long known only in the form of chinawear, as it could only be produced by the Chinese has been succesfully created in a manufactory in Dresden, leading to the creation of European porcelain and an income drop for the Chinese Empire.;x;;
ev_20000186;Great Frost of France;x;;
desc_ev_20000186;Our people have already experienced cold winters, but this year the winter became harsher than ever before. Many people are dying each and every day from freezings and from the attacks of the wild animals. We can do nothing but wait for spring to come from the warmth of our palace.;x;;
ev_20000187;Flying Ship?;x;;
desc_ev_20000187;A so called airship has been constructed in our city by a certain Bartolomeu de Gusmao, who developed the ideas of Francesco Lana de Terzi. After its construction was finished finished he showed it off at the royal court, flying a ball to the top of the hall of the Casa da India with combustion. He was rewarded for this invetion by being appointed him to a professorhip at Coimbra and making him a canon.;x;;
ev_20000188;First Copyright Legislation;x;;
desc_ev_20000188;The first statute to provide for copyright regulated by the government and courts had been passed in our country by her holy majesty, Anne Stuart. Prior to this a guild has been given the only right to censor, but it was less than effective, leading to the end of the press restriction in 1694. The copyright term was set to 14 years with provisions for renewal.;x;;
ev_20000189;New Capital City!;x;;
desc_ev_20000189;With its coastal location and recent expansion the city of St Petersburg has been considered by many to be the de facto capital of our country, but only now was it decided that the capital of Russia shall be moved there de jure aswell.;x;;
ev_20000190;Pragmatic Sanction;x;;
desc_ev_20000190;The Pragmatica Sanctio is an edict issued by Charles VI to ensure that the Habsburg hereditary possessions could be inherited by a daughter. This covered every land owned by the Habsburgs, but not the Imperial Crown, which remained elective. This led to the ultimate succession of his eldest daughter, Maria Theresa.;x;;
ev_200001915;Dynasty of Hannover;x;;
desc_ev_200001915;With the passing of our queen, Anne Stuart the Stuart dynasty has become extinct leading to another dynasty, the House of Hanover taking the royal throne. This also meant that the state of Hanover became a protectorate of our country.;x;;
ev_20000191;Solar Eclipse!;x;;
desc_ev_20000191;Today we experienced something that, according to the court scientists, will not happen again for at least 900 years, a complete solar eclipse. This phenomenon was seen everywhere in Northern Europe from England to Finland, yet we were the first ones to actually document it.;x;;
ev_20000192;First Jacobite Rebellion;x;;
desc_ev_20000192;Our union with Scotland was a good decision according to the most of the people, yet some nobles in Scotland want to restore the old monarchy with James, the second and his heirs. This led to the so-called First Jacobite Rebellion by the supporters of this false king.;x;;
ev_20000193;Karlsruhe Palace Finished;x;;
desc_ev_20000193;"The first building was constructed by Jakob Friedrich von Batzendorf. The city was planned with the tower of the palace (Schloss) at the centre and 32 streets radiating out from it like spokes on a wheel, or ribs on a folding fan, so that a nickname for Karlsruhe in German is the ""fan city"". ";x;;
ev_20000194;Banque Generale Opens;x;;
desc_ev_20000194;A Scottish economist, who is employed as the Controller General of Finances by Louis XV, called John Law has established the very first central bank in our country, allowing money itself to become the standard mean of exchange.;x;;
ev_20000195;Kangxi Dictionary Published;x;;
desc_ev_20000195;The Kangxi dictionary was published for the first time, named after the current emperor. It contains about 47000 different characters, with some graphic variants included. It shall become the standardized Chinese dictionary in the upcoming years.;x;;
ev_20000196;Great Flood;x;;
desc_ev_20000196;The recent rains, storms led to the increase of the sea levels and the flooding of the rivers. Most of our country, both coastal and not have been seriously damaged by this event, killing many of our citizens.;x;;
ev_20000197;Bahrein Belongs to Us!;x;;
desc_ev_20000197;Bahrein being an important trading island in the Persian Gulf has a large amount of trade revenue and also is in a strategically important position just off the coast. We must acquire it to further our dominance in the local trade, by sword if necessary.;x;;
ev_20000198;Casa de Contratacion Moved to Cadiz;x;;
desc_ev_20000198;By the late 17th century, the Casa de Contrataci?n had fallen into bureaucratic gridlock, and the empire as a whole was failing, due primarily to Spain's inability to finance both war on the Continent and a global empire. More often than not, the riches transported from Manila and Acapulco to Spain were officially signed over to Spain's creditors before the Manila galleon made port. Recently they moved the Casa from Seville to C?diz, diminishing Seville's importance in international trade.;x;;
ev_20000199;Corfu Devastated;x;;
desc_ev_20000199;The island of Corfu has been devastated as a lightning struck a large gunpowder storage. Most of the people living on the island died instantly or was killed by a building collapse. Barely any survived to tell us exactly what happened...;x;;
ev_20000200;Egypt Islamized;x;;
desc_ev_20000200;A part of the population of Egypt, especially in the Sudan region has not converted to the one true faith, even after the local administrations ordered them to. So, for the future of an islamic Egypt we have to do everything to fight back these infidels, even if it means killing them all.;x;;
ev_20000201;Defoe's Robinsion Published;x;;
desc_ev_20000201;Daniel Defoe, a great person of the English Enlightenment has published his new book, titled Robinson Crusoe, that tells about a castaway who was shipwrecked unto an unknown, deserted island and his survival in this situation. Of course this novel immediatly became popular between the youth and also led to many people joining the navy to search for adventures.;x;;
ev_20000202;First Systematic Census;x;;
desc_ev_20000202;The first systematic census in the world has been carried out between our borders, revealing informations about our population and the developement of our settlements. The other nations can only follow in our footsteps now.;x;;
ev_20000203;Academia Real de Historia founded;x;;
desc_ev_20000203;The Academia Real da Historia has been founded in the city of Lisbon with the goal of furthering scientific developement of our nation and collecting, recording and storing the history of our nation.;x;;
ev_20000204;Russian Empire Restored;x;;
desc_ev_20000204;Tzar Peter the Great has been proclaimed emperor of all Russians, what hasn't happened in centuries. This leads to a new era of the Russian Empire starting once more, leading to nothing, but glory for our great nation.;x;;
ev_20000205;Table of Ranks Created;x;;
desc_ev_20000205;The Table of Ranks was a formal list of positions and ranks in the military, government, and court of Imperial Russia. The Table of Ranks recognized three fundamental types of service: military, civil and court, dividing each into 14 ranks (grades). It determined position and status of everybody according to service (sluzhba) rather than according to birth or seniority, as mestnichestvo did.;x;;
ev_20000206;First Public Theatre Opens;x;;
desc_ev_20000206;The first public theatre, Lille Gronnegade has been opened to every free Danish citizen to visit and enjoy the theatrical acts. Of course primarily the nobles have the time and money for this pasttime, but sooner or later it may be visited by a wider group of audiance.;x;;
ev_20000207;Peterhof Palace Opens;x;;
desc_ev_20000207;"The Peterhof Palace has been built as a series of palaces and gardens located in Saint Petersburg, Russia, laid out on the orders of Peter the Great. These Palaces and gardens are sometimes referred as the ""Russian Versailles"", referring to them using the same baroque style as the French counterpart.";x;;
ev_20000208;Four Seasons Composed;x;;
desc_ev_20000208;Antonio Vivaldi, the most likely greatest Baroque composer has composed his so far best series of violin concertos, The Four Seasons. Of course it immediately became popular in the Italian noble courts and even the foreign royal courts of Europe.;x;;
ev_20000209;St John Passion Debuts;x;;
desc_ev_20000209;Johann Sebastian Bach has performed his new sacred oratorio, the St John Passion in Leipzig, where he was responsible for the church music at the St Thomas and the St Nicholas Church. He composed this great work for the Good Friday Vespers.;x;;
ev_20000210;Christian Missionaries Removed;x;;
desc_ev_20000210;We had enough of the teachings of these foreign missionaries, who did nothing but further the trading goals of their countries. According to the Emperor's will we removed each and every christian missionary we could find, by force, if necessary.;x;;
ev_20000211;Catherine I Becomes Empress;x;;
desc_ev_20000211;The previous tzarina, Catherine has become the empress of our nation after the death of Peter the Great. We hope that she will continue the path that was set out for her.;x;;
ev_20000212;Order of St Alexander Nevsky Instituted;x;;
desc_ev_20000212;The Order of St Alexander Nevsky has been founded by empress Catherine in memory of Saint Alexander Nevsky for defending Russia against foreign invaders. It was awarded to citizens who served Russia with honor.;x;;
ev_20000213;Independent Highland Companied Re-established;x;;
desc_ev_20000213;The Independent Highland Companies have been re-established by Field Marshal George Wade, who was appointed as the Commander of the Forces of North Britain. Later this company was mostly referred to as the Black Watch.;x;;
ev_20000214;Gujin Tushu Jincheng Printed;x;;
desc_ev_20000214;66 Copies of the 5020 volume long encyclopedia, the Gujin Tushu Jincheng, the Complete Collection of Illustrations and Writings from the Earliest to Current Times have been printed, what required 250.000 movable type characters to be cast from bronze.;x;;
ev_20000215;Swift's Gulliver's Travels Published;x;;
desc_ev_20000215;A book has been publishe by Irish writer and clergyman Jonathan Swift, that parodies the travellers' tales and is a satire on the nature of humanity at the same time.;x;;
ev_20000216;Handel Composes the Coronation Anthem;x;;
desc_ev_20000216;George II has been crowned king of Great Britain. But this coronation was not like the others. The well-known composer Handel has composed an anthem specially for this occasion. The king and the nobility liked it so much that it has been added to the tradition of the crowning ceremonies.;x;;
ev_20000217;Tabriz Shkaen;x;;
desc_ev_20000217;An earthquake has shaken the city of Tabriz leading to countless death, destruction and chaos. We try to help the situation as well as we can, but sadly we can barely do anything.;x;;
ev_20000218;Copenhagen burns!;x;;
desc_ev_20000218;Today a fire started in our capital, burning down several residential blocks, killing a great deal of people, and destroying countless old buildings along the way.;x;;
ev_20000219;Fire in Istanbul;x;;
desc_ev_20000219;A fire started in the city of Istanbul killing many people, ruining whole districts by the time we could control it, then put it out. We are still not sure about the damage caused, but it is surely massive.;x;;
ev_20000220;First Female University Teacher;x;;
desc_ev_20000220;The first woman started teaching in the university of Bologna, Laura Bassi at the age of 21. She taught anatomy and was later elected to the Academy of the Institute for Sciences, recieving the chair of philosophy.;x;;
ev_20000222;Theatre Royal of the Covent Garden Opens;x;;
desc_ev_20000222;John Rich, actor-manager of the Duke's Company commissioned an opera, which led to the success, allowing him to build the Theatre Royal at the site of an ancient covent garden. It was designed by Edward Shepherd.;x;;
ev_20000223;Corsica Regained;x;;
desc_ev_20000223;After the recent conflicts in Europe we lost the island of Corsica, but with some diplomatic manouvering we succesfully regained it. Let's just hope that it stays this way.;x;;
ev_20000224;Cobalt Discovered;x;;
desc_ev_20000224;Georg Brandt, a chemist and mineralogist of our nation has succesfully discovered a metal unknown to the world previously. He is the one to do so since the ancient times, leading to an unmatched fame between the scientists of the age.;x;;
ev_20000225;Theatrical Licensing Act;x;;
desc_ev_20000225;The Licensing Act or Theatrical Licensing Act was a landmark act of censorship on the British stage and one of the determining factors in the developement of Augustan drama. The terms of the Act were that from that point onward the Lord Chamberlain had the power to approve any play before it was staged.;x;;
ev_20000226;Tripical Cyclone Hits the Shores;x;;
desc_ev_20000226;A cyclone, stronger than usual has hit our shores, proceeding towards our mainland leaving only destruction behind, killing people and destroying anything that gets into its way.;x;;
ev_20000227;Teatro di San Carlo Opens;x;;
desc_ev_20000227;The Teatro di San Carlo, a new opera house has opened in Naples, located in the central Piazza del Plebiscito and connected to the Royal Palace of Naples. It was commissioned by Charles VII of Naples.;x;;
ev_20000228;University of G?ttingen Founded;x;;
desc_ev_20000228;The University of G?ttingen has been founded as a comprehenive research university in the city of G?ttingen, following the principles of the academic freedom and enlightenment. We can expect a boost to our scienitific output.;x;;
ev_20000229;Last Medici Dies;x;;
desc_ev_20000229;The last male member of the Medici family has died, making the long lasting line of doges extinct. Of course they weren't the rulers of Venice for a long time now, but their mark on our histroy and our cities will allow their heritage to survive well into the future.;x;;
ev_20000230;Herculaneum Discovered;x;;
desc_ev_20000230;An ancient Roman town buried under a dense tuff has been found once again. The volcanic ashes have succesfully kept most of the things intact, so our scientists could find countless motifs of our ancestors which have been since reused on many buildings and furnitures.;x;;
ev_20000231;First Automaton;x;;
desc_ev_20000231;Jacques de Vaucanson, an inventor in our court has created an automated machine capable of playing twelve songs on the flute by itself. Some automatons have been constructed before, but this is the most revoluionary one we have ever seen before.;x;;
ev_20000232;First Cuckoo Clock;x;;
desc_ev_20000232;A so called Cuckoo Clock has been created by Franz Ketterer, a clockmaker of the Black Forest Manufactory. Its speciality is that once it reaches an exact hour a small figure, a cuckoo jumps out of it. It really is a great invention.;x;;
ev_20000233;Royal Swedish Academy of Sciences Established;x;;
desc_ev_20000233;The Royal Swedish Academy of Sciences, or Kungliga Vetenskapsakademien has been formed as the first scientific academy of Sweden with the goal to promote the natural sciences and mathematics by naturalist Carl Linnaeus, Jonas Alstromer, Marten Triewald, Sten Carl Bielke, Carl Wilhelm Cederhielm and Anders Johan von Hopken;x;;
ev_20000234;Rule Britannia!;x;;
desc_ev_20000234;A new patriotic poem has been composed by James Thomson, and was set to music by Thomas Arne. It quickly became the main song of our navy, but the army also started using it.;x;;
ev_20000235;Stemmatographia Published;x;;
desc_ev_20000235;Stemmatographia, the first secular Serbian-Bulgarian book, written by Hristofor Zhefarovich has been printed, leading to the beginning of thinking of these two nations as the inheritants of the Illyrian heritage and it also promoted panslavism.;x;;
ev_20000236;Stadtschloss of Eisenach Complete;x;;
desc_ev_20000236;A Stadtschloss, a city palace or imperial palace has been completed in the city of Eisenach, improving the overall looks of the city's main square.;x;;
ev_20000237;Tribes Unite;x;;
desc_ev_20000237;Our tribes who were only somewhat joined have finally given up their differences to unite under our flag as one nation to face our enemies and capture more land for the glory of our now united nation.;x;;
ev_20000238;Great Comet Sighted;x;;
desc_ev_20000238;Our nation is the first to sight the great comet that appeared on the sky today. In the past people may have thought that comets bring bad luck, but luckily we live in enlightened times.;x;;
ev_20000239;Female Spectator Published;x;;
desc_ev_20000239;The first magazine written by women for women has been published for the first time ever.;x;;
ev_20000240;Kilts Banned;x;;
desc_ev_20000240;The traditional cloth of the scottish people, the kilt has been banned to attempt to bring the various clans fighting against our rule under our control. The only exception that allowed kilts to be worn was in the army, especially the Black Watch regiment.;x;;
ev_20000241;Durrani Empire Proclaimed;x;;
desc_ev_20000241;Our nation has reached its peak with the recent acquisition of more land, leading to our great leader to proclaim himself emperor of the Durrani, effectively beginning the era of the Durrani Empire.;x;;
ev_20000242;Fire in London;x;;
desc_ev_20000242;A fire has started in our great city, leading to many historical buildings' destruction. Luckily apart from a few injuries noone died, the damage done to the buildings is still pretty severe.;x;;
ev_20000243;Pompeii Discovered;x;;
desc_ev_20000243;The ruins of the ancient city of Pompeii have been discovered near the city of Naples. Apparently the buildings, wall paintings have been protected completely by the thick layer of ash and volcanic stone, allowing us to see them in their original glory.;x;;
ev_20000244;First Income Tax;x;;
desc_ev_20000244;After the recent wars and constructions in our country King Louis XV chose to create an income tax of 5% and universally apply it to every person of our country. Of course this upset the nobility way more than the lower classes, as this broke their right not to be taxed.;x;;
ev_20000245;Westminster Bridge Opens;x;;
desc_ev_20000245;A new bridge has been built over the River Thames, linking Westminster to Lambeth. It was painted mostly green, the color of the House of Commons' seats, which is on the side of the Palace of Westminster, nearest to the bridge.;x;;
ev_20000246;The Ghost Painted;x;;
desc_ev_20000246;Maruyama Oko, a great artist, painter of our country has painted what is considered to be one of his great works, based on a traditional Japanese folklore, a female yurei, a ghost in the city of Oyuki.;x;;
ev_20000247;The First Industrial Revolution Begins;x;;
desc_ev_20000247;Countless new inventions have been created in the last few decades, leading to a complete change in our country's economy, and to the creation of the first so called factories, which were manufactories of massive output, using workforces of a way higher amount.;x;;
ev_20000248;Fire in Stockholm;x;;
desc_ev_20000248;Today the citizens of Stockholm experienced one of the worst fires of our cities' history, leading to the death of many people and the destruction of countless historical buildings.;x;;
ev_20000249;Encyclopaedia First Published;x;;
desc_ev_20000249;Encyclopaedia, a general encyclopedia has been published by Denis Diderot and Jean le Rond d'Alembert. It is an innovative encyclopedia, since it is the first to be written by many contributors and the first to lawish attention on the mechanical arts. It is considered to be the peak of Enlightenment by many.;x;;
ev_20000250;Maria Theresa Thaler Minted;x;;
desc_ev_20000250;The Maria Theresa thaler has been minted to the first time ever, and became the first coin to be introduced into the world trade, becoming the standard of the German-speaking countries.;x;;
ev_20000251;Fire of Moscow;x;;
desc_ev_20000251;The city of Moscow was partially burnt down by a larger fire, damaging many residential areas, killing lots of people.;x;;
ev_20000254;Moscow University Established ;x;;
desc_ev_20000254;A new high level education facility, the University of Moscow has been established, allowing some of our students to turn their interest to science, and granting us a greater scientific output.;x;;
ev_20000255;Lisbon Earthquake;x;;
desc_ev_20000255;An earthquake has shaken the city of Lisbon leading to countless death, destruction and chaos. We try to help the situation as well as we can, but sadly we can barely do anything.;x;;
ev_20000256;Puning Temple Complex Finished;x;;
desc_ev_20000256;A new temple complex in Chengde has been completed , commonly referred to as the Big Buddha Temple. It was built in order to show the Qing's respect towards the Tibetan Buddhism. It is one of the Eight Outer Temples, modelled after the Tibetan Potala Palace.;x;;
ev_20000257;New Agricultural Reform;x;;
desc_ev_20000257;Frederick II has passed a new reform concerning the agriculture. With multiple laws he forced the plantation of the new vegetable, potato because of its low needs and high growth rate.;x;;
ev_20000258;British Museum Opens;x;;
desc_ev_20000258;The British Museum, a large architecture has opened to show the historical collection of our nation to the people of our nation. It includes relics of our past and what we brought back from the New World and India.;x;;
ev_20000259;Sikh Holocaust;x;;
desc_ev_20000259;On the order of our emperor our people started the complete butchery of the Sikh people between our borders following their nation's, Punjab's countless invasions.;x;;
ev_20000263;New Method!;x;;
desc_ev_20000263;We have been following the ways of our ancestors to create vodka for a long time, but with the innovations and inventions of the eras we have to move forward. Our empress Catherine II has given out the order to produce the vodka in a new, improved way, allowing larger output with less input.;x;;
ev_20000264;Beast Attacks;x;;
desc_ev_20000264;Beasts of unknown origin have started attacking villages around the country, killing innocents. Some think that this is a punishment from God, some more racional people say that these are no beasts, but wolves, driven to the villages because of their hunger.;x;;
ev_20000265;Grand Tour of Mozart;x;;
desc_ev_20000265;A prominent young boy called Wolfgang Amadeus Mozart has started his tour from our country to Western Europe, to spread his magnificient music everywhere, learning from the local cultures on the way.;x;;
ev_20000266;Free Press;x;;
desc_ev_20000266;Our nation just became the first to allow their people a completely free press, without any central censorship, letting anyone to start their own journal, newspaper, magazine with any kind of content.;x;;
ev_20000267;Corsica Lost;x;;
desc_ev_20000267;As the French has been owning the island of Corsica de facto for a while now we did what we could to still get the most out of it, and selled the de jure ownership of it to the French. We didn't actually lose anything, apart from a de jure casus belli, but we gained some money to improve our nation instead.;x;;
ev_20000268;Royal Academy of Arts Founded;x;;
desc_ev_20000268;The royal academy of arts has been founded through a personal act of our king to promote the arts of design in Britain through education and exhibitions and to encourage appreciation and interest in the public towards fine art.;x;;
ev_20000269;Steam Engine Granted Patent;x;;
desc_ev_20000269;The steam engine of James Watt, an invention capable of turning heat into energy has been created by engineer James Watt and now it was granted royal patent to begin production for the first time.;x;;
ev_20000270;Famine!;x;;
desc_ev_20000270;With the bad crops of the recent years and the drought of this year our people are suffering, trying to survive from day to day with what little food they have. News of cannibalism has reached the palace, and even the leading nobles of our country fear what's coming next.;x;;
ev_20000272;Plague Returns;x;;
desc_ev_20000272;A new plague has reached the city of Moscow, a large part of the local population. The disease didn't spare anyone, nobles and commoners died all the same. This is a sad day of our nation.;x;;
ev_20000273;Putuo Zondcheng Temple Complex Complete;x;;
desc_ev_20000273;A new temple complex in Chengde has been completed. It was built in order to show the Qing's respect towards the Tibetan Buddhism. It is one of the Eight Outer Temples, modelled after the Tibetan Potala Pala. It is the largest of the complexes, covering 220.000 square meters.;x;;
ev_20000274;Absolute Rulership Declared;x;;
desc_ev_20000274;Our king, Gustav III has finally declared absolute rulership after completely removing the parliament from power slowly, but surely. This will allow him to reach the country's resources way easier.;x;;
ev_20000276;Istanbul Technical University Founded;x;;
desc_ev_20000276;A new high level education facility, the Technical University of Istanbul has been established, allowing some of our students to turn their interest to science, and granting us a greater scientific output.;x;;
ev_20000277;Louis XVI Crowned;x;;
desc_ev_20000277;Louis XVI, a new king has been crowned in our kingdom. He grew up in a new era, the Enlightenment, so we can expect him to fulfill the greatness our nation expects from him.;x;;
ev_20000278;Wealth of Nations Published;x;;
desc_ev_20000278;Adam Smith's so far greatest wokr, the Wealth of Nations has been published. It is the world's first collected discriptions of what builds nations' wealth and may become an important part of the future's economics.;x;;
ev_20000279;Illuminati Founded;x;;
desc_ev_20000279;A branch of the free masons have separated, creating a secret organization, called the Illuminati. They set their goal to conquer the whole world and establish a New World Order. Apart from their scary goal, they seem to keep to themselves.;x;;
ev_200002835;League of Armed Neutrality;x;;
desc_ev_200002835;After the recent conflicts in Europe and the somewhat stable relations with the northern countries we chose to sign a treaty with them, the League of Armed Neutrality. This is not an alliance, but it means that we accept the current borders we have and will not attack each other for the time being, allowing us to focus our power to the other borders.;x;;
ev_200002845;University of Munster Founded;x;;
desc_ev_200002845;A new high level education facility, the University of Munster has been established, allowing some of our students to turn their interest to science, and granting us a greater scientific output.;x;;
ev_20000285;Patent of Tolerance;x;;
desc_ev_20000285;A new patent, the Patent of Tolerance has been enacted in our country, allowing the freedom of worship to our minorities. This will make most of the people happy, but surely there will be some who opposes the idea of allowing other religions to have the same rights as they do.;x;;
ev_20000286;Bank of North America;x;;
desc_ev_20000286;The first bank has opened in our country, and in the Americas, allowing us to have the monopoly of money trade and lending business in the New World.;x;;
ev_20000287;Siku Quanshu Complete;x;;
desc_ev_20000287;A collection of books, a complete encyclopedia of the era has been published by 361 scholars on the order of Emperor Qianlong, to surpass what the Ming dynasty achieved in the past. It contained over 3400 titles, in 36381 columes with more than 79000 chapters, 2.3 million pages and 800 million Chinese characters.;x;;
ev_20000288;Volcano Laku Erupts;x;;
desc_ev_20000288;The volcano of Laki has erupted killing a large portion of the population of Iceland by the hot ash, the falling rocks and the molten rock that destroyed everything in its way.;x;;
ev_20000289;Great Meteor Passes;x;;
desc_ev_20000289;Our nation is the first to sight the great meteor that passed near our planet today. In the past people may have thought that events like this bring bad luck, but luckily we live in enlightened times.;x;;
ev_20000291;Hungarian Constitution Suspended;x;;
desc_ev_20000291;The current king has suspended the long standing Hungarian constitution, angering the nobles, proclaiming absolute rulership as many European rulers do in these years, some people call the current period as the era of enlightened absolutism.;x;;
ev_20000292;Famine!;x;;
desc_ev_20000292;With the bad crops of the recent years and the drought of this year our people are suffering, trying to survive from day to day with what little food they have. News of cannibalism has reached the palace, and even the leading nobles of our country fear what's coming next.;x;;
ev_20000293;Marriage of Figaro Debuts;x;;
desc_ev_20000293;A new opera of the talent, Mozart debuts today in the city of Vienna in the royal opera house. We look forward to this event, as the said composer has never ever disappointed us before.;x;;
ev_20000294;Earthquake in Chengdu province!;x;;
desc_ev_20000294;An earthquake has shaken the county this morning, leading to many landslides.Countless people died, and we are still searching the remote farms, villages for survivors. Some of them were completely cut off, so we still can't be sure about the complete damage done.;x;;
ev_20000295;Mont Blanc's Peak Reached;x;;
desc_ev_20000295;A citizen of our country has finally did what many tried before him and reached the peak of the highest mountain of Europe, the Mont Blanc. This is a glorious day for our nation.;x;;
ev_20000296;The London Monster Arrested;x;;
desc_ev_20000296;A serial killer who has been on the streets for a long time has finally been arrested. The murderer, who the population calls the London Monster has killed over 30 people, but now he shall face justice and recieve a punishment worthy of such act.;x;;
ev_20000297;Semaphore Machine Invented;x;;
desc_ev_20000297;A new machine, called semaphore has been finished by Claude Chappe and his brother. It was previously created by Englishmen, but they never perfected it. Now, with a royal support he started to cover all of France with semaphore lines, allowing way faster communcation than ever before.;x;;
ev_20000298;Brandenburg Gate Complete;x;;
desc_ev_20000298;The Brandenburg Gate, a huge monument to the glory of our nation has been finished. It is based on the ancient Roman archs of glory, yet it is larger than most of them. It has quickly became the most well-known landmark of our nation.;x;;
ev_20000299;Ship Spotted on our Coasts;x;;
desc_ev_20000299;Another ship has arrived to our shores, yet this one was different than those from Europe. It carried a flag we've never seen before and they arrived from the east, from the newly found continent of the Europeans. They offered us help and brough gifts along to help our advancement and to work together for a brighter future.;x;;
ev_20000300;Unzen Volcano Erupts;x;;
desc_ev_20000300;Mount Unzen has erupted, surprising the local population and killing many of them who could not get to safety in time. We can only hope that it will remain dormant after this disastrous eruption.;x;;
ev_20000301;Slavery Outlawed;x;;
desc_ev_20000301;With the latest reform of our king we have completely outlawed slavery between our borders, being the first ones to do so in the world. We have become an example many shall follow, that is for sure.;x;;
ev_20000302;Niccolo Paganini Debuts;x;;
desc_ev_20000302;Niccolo Paganini, a violinist, violist, guitarist and composer has debuted today. He seemed really skilled, some have already predicted that he will become the greatest virtuoso of our generation.;x;;
ev_20000303;Gott Erhalte Franz Den Kaiser;x;;
desc_ev_20000303;Gott Erhalte Franz Den Kaiser or Kaiserhymne has been composed by Joseph Haydn and a lyrics was created by Lorenz Leopold Haschka as an anthem to Francis II, Emperor of The Holy Roman Empire and Austria, but after its success the emperor chose it to be the national song of the Habsburg Empire.;x;;
ev_20000304;Act of Union;x;;
desc_ev_20000304;The Act of Union has been passed to unite the Kingdom of Great Britain and the Kingdom of Ireland into one crown and completely one country, with one government, one Upper house and the same laws.;x;;
ev_20000305;First Census of the UK;x;;
desc_ev_20000305;We have carried out the first complete census in the history of our country, gathering information about the population, the cities, villages and the overall demography of our country.;x;;
ev_20000306;First Census in France;x;;
desc_ev_20000306;We have carried out the first complete census in the history of our country, gathering information about the population, the cities, villages and the overall demography of our country.;x;;
ev_20000307;Composed Upon Westminster Bridge;x;;
desc_ev_20000307;William Wordsworth, one of the first English Romantic poets created a sonet, titled Composed upon Westminster Bridge, describing the city of London, the River Thames and the view from Westminster Bridge in the early morning.;x;;
ev_20000308;Haiti Proclaims Independence!;x;;
desc_ev_20000308;The state of Haiti, on the western portion of Hispaniola his declared independence, forming their own government. This was mostly carried out by the slave population, who took rose up and took control of our local administration.;x;;
ev_20000309;Ethnic Cleansing;x;;
desc_ev_20000309;We have been enslaved for too long, living in fear of our master's sometimes outrageous commands. But now we are the masters. We shall carry out our revenge, killing each and every white person on our free island. Long live the revolution!;x;;
ev_20000310;First Serbian Uprising;x;;
desc_ev_20000310;The unrest between our Serb population has been growing, but now it slowly turns into an open rebellion. The nationalist ideas that started growing in them is nothing, but bad news for us. We must prepare to put them down, by force.;x;;
ev_20000311;Serdom Abolished;x;;
desc_ev_20000311;The serfdom has finally been abolished between abolished, freeing the serfs, letting them keep their lands as free subjects. We are a living example for the rest of Europe!;x;;
ev_20000312;Academy of Fine Arts Founded;x;;
desc_ev_20000312;An academy has opened in M?nich with classes for fine arts, sculpture, visual arts, painting, artistic concepts, art education, gold- and silversmithing, as well as graphic design, the professors and students carry out candid discussions. The master courses of Architecture and Urban Studies as well as Art and Public Space are among the most renowned in their fields.;x;;
ev_20000313;Addresses to the German Nation;x;;
